country,year,net,totalNet
Korea,1993,-3157283,-23995275733
Korea,1992,-3337566,-23995275733
South Africa,2008,-1148281785,-18655555070
South Africa,2001,-935444476,-18655555070
South Africa,1999,-669943614,-18655555070
South Africa,1993,-541955585,-18655555070
South Africa,1994,-516230795,-18655555070
South Africa,1995,-626257607,-18655555070
South Africa,1996,-974078843,-18655555070
South Africa,2000,-737221627,-18655555070
South Africa,2007,-1070653291,-18655555070
South Africa,2006,-853103554,-18655555070
South Africa,2009,-1281799284,-18655555070
South Africa,1998,-666789364,-18655555070
South Africa,2004,-540700003,-18655555070
South Africa,2005,-927379768,-18655555070
South Africa,2003,-608581390,-18655555070
South Africa,2002,-644990736,-18655555070
South Africa,1997,-694290770,-18655555070
South Africa,1992,-234490451,-18655555070
South Africa,1987,-105825534,-18655555070
South Africa,1990,-271828896,-18655555070
South Africa,1991,-64650922,-18655555070
South Africa,1989,-320399942,-18655555070
South Africa,1988,-110849,-18655555070
South Africa,2010,-971208512,-18655555070
South Africa,2011,-943390545,-18655555070
South Africa,2012,-955734671,-18655555070
South Africa,2013,-1350212256,-18655555070
Chile,2002,-118741127,-7333564781
Chile,2006,-53778696,-7333564781
Chile,2003,-74552155,-7333564781
Chile,2005,-73365918,-7333564781
Chile,2004,-85966757,-7333564781
Chile,2007,-114884127,-7333564781
Chile,2008,-275373194,-7333564781
Chile,2009,-136769922,-7333564781
Chile,2010,-119998320,-7333564781
Chile,1989,-152229260,-7333564781
Chile,1984,-314012953,-7333564781
Chile,1985,-624811340,-7333564781
Chile,1986,-123522992,-7333564781
Chile,1988,-73331550,-7333564781
Chile,1993,-246885634,-7333564781
Chile,1995,-326285394,-7333564781
Chile,2001,-290131143,-7333564781
Chile,1999,-312658747,-7333564781
Chile,1987,-62625327,-7333564781
Chile,1990,-260281186,-7333564781
Chile,1991,-575859750,-7333564781
Chile,1992,-686092378,-7333564781
Chile,1994,-98616016,-7333564781
Chile,1997,-180051006,-7333564781
Chile,2000,-143596162,-7333564781
