country,year,net
Switzerland,1982,63684924
Denmark,1989,133430275
Canada,1984,538313789
Netherlands,1990,207980200
Japan,1984,2398904927
United States,1973,1553264205
Australia,1973,46285863
United States,1974,871092243
Denmark,1975,10392556
France,1982,446543740
United Kingdom,1977,860011341
Netherlands,1977,352515092
Italy,1984,-326161771
Denmark,1984,69039945
Switzerland,1984,116248354
Japan,1976,762168614
Canada,1977,38957778
Norway,1985,85932533
United Kingdom,1974,1405378815
Norway,1986,9848663
Canada,1986,392105553
Austria,1989,18299145
France,1989,469783071
Switzerland,1985,52165585
France,1985,212486003
Canada,1993,45197662
Japan,1994,2667081144
Australia,1986,25229662
Japan,1990,2604458951
Netherlands,1991,233871628
Australia,1988,1758350
Netherlands,1989,472821276
France,1993,246959806
Switzerland,1978,35883359
Canada,1978,100516271
Netherlands,1979,82256186
Norway,1979,140327273
Norway,1994,126824955
Norway,1993,5761527
Canada,1973,437928427
Germany,1990,3382157543
Denmark,1992,40778102
Germany,1992,8552232648
Finland,1994,30027227
Switzerland,1974,64549529
Canada,1976,116287322
Norway,1977,60133610
United States,1976,897290248
Japan,1982,1471338041
France,1984,367362828
Norway,1984,101664449
Japan,1992,2865776832
United Kingdom,1978,971709388
Japan,1983,1760860027
Netherlands,1980,352628199
Sweden,1985,123903610
Japan,1989,582793544
Norway,1982,47037386
Italy,1987,282071099
Sweden,1982,147903816
Norway,1987,244641035
Sweden,1989,946284591
Germany,1991,323668836
Norway,1975,64575343
Germany,1977,617148856
Germany,1986,539033266
Japan,1975,1339039677
Sweden,1990,400387605
Austria,1974,24126329
Germany,1973,562232384
Sweden,1991,173278658
Netherlands,1985,75285016
Netherlands,1986,379878579
Japan,1980,1561606522
Netherlands,1983,305883422
Australia,1975,77691781
Netherlands,1976,426349160
United States,1977,246198361
Sweden,1984,133481767
Australia,1985,6929573
Denmark,1986,110720962
Netherlands,1987,573020364
Spain,1991,134873730
Netherlands,1988,277081548
Norway,1988,20840875
Canada,1989,93899695
Belgium,1990,187058124
Denmark,1990,58616306
Switzerland,1990,123834846
United Kingdom,1990,270402953
Australia,1990,93432068
Denmark,1991,80582842
United Kingdom,1991,270595943
Switzerland,1992,31332667
Canada,1992,203523019
Italy,1993,-153045797
Switzerland,1993,43709522
United Kingdom,1993,407941751
Japan,1987,1245051405
Canada,1994,83435990
Germany,1988,757183394
Germany,1981,751727169
Germany,1989,3020847013
Finland,1992,69776266
Belgium,1992,470688315
Norway,1990,22442656
Austria,1991,43662774
Sweden,1974,30299330
Germany,1975,833859928
Canada,1979,80241209
Switzerland,1983,190427090
United Kingdom,1979,5012313
Austria,1979,2480539
Germany,1976,639963734
Canada,1981,-1993435063
Netherlands,1982,163308875
Denmark,1983,84368125
Norway,1976,10419282
Sweden,1976,151806434
France,1975,192416969
Switzerland,1987,87982342
Finland,1990,4220992
Australia,1991,518306838
Australia,1992,-136174067
Australia,1983,7388539
Denmark,1974,56839286
Germany,1987,788040730
Finland,1991,30659992
Japan,1974,2730202327
United Kingdom,1984,753538727
France,1978,97437457
Sweden,1978,472112462
France,1980,243713422
United Kingdom,1973,442579189
Norway,1980,-1987036
Netherlands,1975,130708382
Switzerland,1989,75386666
United Kingdom,1980,168108919
Germany,1979,787807347
Germany,1984,950183614
Austria,1990,3458667
Sweden,1979,253701905
Switzerland,1980,10028652
Switzerland,1981,18045799
Denmark,1982,122090821
United Kingdom,1982,775334730
Netherlands,1974,323468392
Denmark,1976,28849377
Canada,1974,68502158
United Kingdom,1985,1255318
Denmark,1987,149837777
France,1988,274040470
United States,1978,438452911
Germany,1978,410412482
Australia,1982,7858925
United States,1979,717779582
Australia,1977,72648152
Sweden,1973,168369255
United Kingdom,1975,222187891
Denmark,1985,154044569
Norway,1991,58788041
Australia,1993,-41704432
Switzerland,1994,40395940
Austria,1985,87348212
Germany,1974,698168091
New Zealand,1981,752775
Austria,1978,27058314
Netherlands,1978,231844808
Belgium,1973,39251336
Denmark,1988,119577810
Germany,1993,450749201
United Kingdom,1976,51613566
France,1977,168900067
United Kingdom,1988,80251575
Canada,1991,79132048
Italy,1973,166719069
Norway,1973,35874848
Canada,1975,93027681
Sweden,1987,72374249
Sweden,1988,185535976
United Kingdom,1989,269229353
Germany,1994,380199578
Norway,1978,147255461
France,1974,367384662
Australia,1984,3698286
Australia,1987,18309923
Switzerland,1988,32738889
Australia,1979,9763598
Switzerland,1973,14060941
Belgium,1985,4191839
Norway,1992,-22550541
United Kingdom,1981,-550943311
United Kingdom,1983,571679920
Norway,1974,94887523
Austria,1987,77374
Austria,1992,7690278
Denmark,1978,2086036
Australia,1978,47483698
Australia,1989,163270223
Belgium,1993,75567601
Spain,1989,100535177
France,1983,164059809
Denmark,1977,112241594
Austria,1981,53258611
Denmark,1979,35943903
Austria,1977,2608725
New Zealand,1983,216892
United Kingdom,1986,227395004
Finland,1989,16608550
Belgium,1983,46243316
Belgium,1981,25440169
Netherlands,1973,162750945
France,1973,247189555
Spain,1993,36693281
Sweden,1980,-24603423
Austria,1994,496076
Belgium,1975,38863307
France,1976,183658423
Italy,1985,164182162
New Zealand,1982,-213312242
Austria,1993,-123971486
France,1979,25058027
Australia,1976,27718070
Italy,1986,48874532
Finland,1988,447649
Sweden,1975,201059589
Belgium,1976,36126619
Italy,1983,-114082082
Belgium,1989,183930257
Belgium,1977,35853879
Belgium,1974,43588598
Spain,1990,33912950
Spain,1994,6797785
France,1987,254311333
New Zealand,1985,4831732
Austria,1986,15801537
Belgium,1978,32189217
Austria,1980,-154911688
Italy,1976,35601469
Austria,1988,400964
Austria,1976,12981849
France,1986,296394154
Finland,1987,1482877
Austria,1982,-58318503
Australia,1974,26950877
Austria,1983,17235616
Chile,2009,-136769922
Thailand,2010,-560932861
Cyprus,2005,5599
Taiwan,2006,6324571
Taiwan,2008,348667
Taiwan,2010,287807
Taiwan,2007,375139
Taiwan,2009,312954
Taiwan,2011,282125
Colombia,2010,-1128335815
Slovak Republic,2009,14202
Slovak Republic,2010,14132
Brazil,2010,-1058295902
Czech Republic,1996,-30399978
Czech Republic,2009,397563
Czech Republic,2008,230219
Czech Republic,2003,-45360370
Czech Republic,2005,73100
Czech Republic,2001,-64851437
Czech Republic,1997,-98402219
Czech Republic,2006,918070
Czech Republic,2002,-60314687
Chile,2010,-119998320
Slovenia,2010,135720
Greece,2010,2151692
Luxembourg,2010,9812280
Italy,2010,40421158
Finland,2010,20238960
Switzerland,2010,53676771
Ireland,2010,15971582
Belgium,2010,41446751
Australia,2010,32806019
United Kingdom,2010,435982774
France,2010,479271279
Korea,2010,9946450
Norway,2010,323665853
Sweden,2010,94790240
Spain,2010,128037041
Japan,2010,3428071506
New Zealand,2010,3518946
Portugal,2010,9121622
Austria,2010,8224524
United Arab Emirates,2010,1109303
Netherlands,2010,55471821
Denmark,2010,21438651
United States,2010,1517053044
Canada,2010,66543586
Germany,2010,866568253
Greece,2011,1740617
Switzerland,2011,39344798
Norway,2011,268584661
Australia,2011,41545539
Canada,2011,49798170
Japan,2011,2635586602
United Arab Emirates,2011,590706
New Zealand,2011,3623798
Austria,2011,5945013
Netherlands,2011,19530662
Portugal,2011,9036429
Czech Republic,2011,164099
Finland,2011,34660814
Luxembourg,2011,9920871
France,2011,385580197
Korea,2011,11082508
United Kingdom,2011,238230871
Sweden,2011,57386226
Italy,2011,49349085
Ireland,2011,16164777
Belgium,2011,47828984
Germany,2011,1400378605
Spain,2011,100140152
Denmark,2011,33654018
United States,2011,1158991620
Spain,2012,55560499
Austria,2012,9369281
France,2012,1857862442
Denmark,2012,14988225
Finland,2012,7911710
Ireland,2012,14021437
Iceland,2012,39083
Italy,2012,23960216
Netherlands,2012,11311438
Switzerland,2012,41783411
Korea,2012,16780372
Czech Republic,2012,165238
Luxembourg,2012,8502699
Portugal,2012,7736231
Sweden,2012,42966784
Belgium,2012,35767940
Canada,2012,59322273
Norway,2012,262015590
Germany,2012,1519377935
Japan,2012,4256445621
Australia,2012,55649016
United Kingdom,2012,386497679
United Arab Emirates,2012,1025431
New Zealand,2012,1722664
Greece,2012,1220624
United States,2012,1093496899
Canada,2013,54784201
Belgium,2013,68317348
Denmark,2013,4941770
Austria,2013,7169039
Sweden,2013,82270421
Switzerland,2013,74744897
Ireland,2013,11285184
United Kingdom,2013,490448080
United States,2013,1059333467
France,2013,1247092339
Spain,2013,55835945
Australia,2013,67265056
Japan,2013,2641200097
Korea,2013,397323332
Germany,2013,1582596672
Norway,2013,295017276
Italy,2013,23679747
Finland,2013,13933712
Luxembourg,2013,7645306
Netherlands,2013,11055065
Greece,2013,222131
Portugal,2013,6629414
Poland,2013,403184
Iceland,2013,133418
Slovenia,2013,14308
Slovak Republic,2013,41147
New Zealand,2013,1938330
Czech Republic,2013,123152
India,1977,-3197135157
Brazil,1977,-501438883
India,1983,-2653699004
Taiwan,1984,-247894043
Korea,1984,-891180603
India,1985,-1837835819
India,1987,-4191375895
Cyprus,1993,-42046495
Lithuania,1996,-89026730
India,1998,-2478951563
India,1978,-2927325215
India,1976,-2233586413
Thailand,1976,-110042103
Slovak Republic,2001,-52945385
Cyprus,1992,-29261936
India,1989,-3091093501
Cyprus,1988,-60836704
Cyprus,1986,-56716357
India,1986,-3003947484
Cyprus,1984,-79282641
India,1982,-2822105457
Thailand,1982,-1595007194
Cyprus,1983,-51405078
India,1981,-3706661088
Thailand,1981,-1178204797
Thailand,1979,-1283439829
Cyprus,1980,-87110643
Thailand,1977,-715883953
Cyprus,1977,-20945184
South Africa,2008,-1148281785
India,2001,-2198367696
Poland,2001,-670468736
Romania,2005,-278521
Romania,2007,-97380
Romania,2008,-12192
Chile,1989,-152229260
Thailand,2002,-1205361664
Thailand,1990,-1790643316
Poland,1993,-367250867
India,1997,-4794906726
Hungary,1993,-322532354
Colombia,1982,-1228919949
Czech Republic,1993,-170159661
Czech Republic,1994,-487593167
Czech Republic,1992,-212986243
India,1990,-2036236423
India,1991,-3660869551
India,1992,-5341953099
India,1993,-1327287513
Finland,1984,-26553629
Brazil,1989,-470795753
Brazil,1990,-546410160
Greece,1981,-26046686
Greece,1991,-303412067
Hungary,1985,-31296368
Chile,1984,-314012953
Chile,1985,-624811340
Chile,1986,-123522992
Chile,1988,-73331550
Chile,1993,-246885634
Chile,1995,-326285394
Taiwan,1981,-312886996
Taiwan,1982,-617069786
Colombia,1990,-539309295
Colombia,1992,-492185858
Colombia,1993,-648542403
Colombia,1994,-303016912
Colombia,1995,-586866583
Colombia,1996,-1052281529
Colombia,1980,-257368296
Colombia,1981,-176100059
Colombia,1983,-110714529
Colombia,1984,-204495135
Colombia,1985,-835091486
Colombia,1988,-234020126
Colombia,1989,-200318505
Korea,2002,-657470006
Korea,2001,-864874549
Korea,2000,-444810035
Korea,1999,-5783774361
Romania,2002,-277336395
Romania,2001,-636869083
Romania,2000,-223359836
Ireland,1999,-174812788
Romania,1999,-222375326
Romania,1998,-339859562
Saudi Arabia,2001,-5047242
Saudi Arabia,1999,-2722986716
South Africa,2001,-935444476
South Africa,1999,-669943614
Thailand,2001,-532323112
Thailand,2000,-1792837766
Belgium,1980,-147868500
Brazil,1980,-397591374
Brazil,1981,-1019510084
Brazil,1982,-577695039
Brazil,1983,-129429939
Brazil,1984,-643593148
Brazil,1985,-1150188786
Brazil,1986,-398238987
Brazil,1987,-688641987
Brazil,1988,-319508348
India,1994,-4096778597
India,1995,-2704173002
India,1996,-4151165519
Brazil,1991,-1398521154
Brazil,1993,-726672442
Brazil,1994,-2807702721
Brazil,1995,-2573830958
Brazil,1996,-1902899155
Brazil,1997,-2033092975
Ireland,1980,-30268231
Italy,1980,-894504816
Poland,1980,-75000451
Poland,1992,-9141850218
Poland,1994,-431842731
Poland,1995,-3376022477
Poland,1996,-359200576
Poland,1997,-309290589
Portugal,1980,-4136160
Portugal,1981,-144765310
Qatar,1997,-705173409
Romania,1980,-44381441
Brazil,2002,-1545038937
Brazil,2001,-1574635711
Korea,1980,-2625763424
Korea,1981,-1656173571
Korea,1983,-665624126
Korea,1985,-907605958
Korea,1996,-369583888
Korea,1997,-1019452888
South Africa,1993,-541955585
Spain,1980,-285026867
Brazil,1998,-1758374210
Romania,1981,-262077414
Romania,1995,-189810215
Romania,1996,-240362515
Romania,1997,-168028130
Brazil,2000,-1106359401
Brazil,1999,-1319316622
Chile,2001,-290131143
Chile,1999,-312658747
Korea,1994,-1076359694
Lithuania,1995,-83881095
Luxembourg,1993,-415719806
Spain,1981,-199457361
Spain,1982,-77227580
Taiwan,1980,-374058844
Taiwan,2002,-170259619
Taiwan,2000,-779075653
Thailand,1980,-902852253
